pacote,versao,local_lockfile,tipo,marcado_dev,opcional,candidato_windows_x64,script_instalacao_declarado,os_declarado,cpu_declarada,node_engines,origem_url,host_origem,integridade_algoritmo,categoria_avaliacao,pontos_para_revisao,cadeia_exemplo,situacao_nexus
@algolia/abtesting,1.14.1,node_modules/@algolia/abtesting,transitiva,true,false,true,false,,,>= 14.0.0,https://registry.npmjs.org/@algolia/abtesting/-/abtesting-1.14.1.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/cli@21.2.21 > algoliasearch@5.48.1 > @algolia/abtesting@1.14.1,NAO_VERIFICADA
@algolia/client-abtesting,5.48.1,node_modules/@algolia/client-abtesting,transitiva,true,false,true,false,,,>= 14.0.0,https://registry.npmjs.org/@algolia/client-abtesting/-/client-abtesting-5.48.1.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/cli@21.2.21 > algoliasearch@5.48.1 > @algolia/client-abtesting@5.48.1,NAO_VERIFICADA
@algolia/client-analytics,5.48.1,node_modules/@algolia/client-analytics,transitiva,true,false,true,false,,,>= 14.0.0,https://registry.npmjs.org/@algolia/client-analytics/-/client-analytics-5.48.1.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/cli@21.2.21 > algoliasearch@5.48.1 > @algolia/client-analytics@5.48.1,NAO_VERIFICADA
@algolia/client-common,5.48.1,node_modules/@algolia/client-common,transitiva,true,false,true,false,,,>= 14.0.0,https://registry.npmjs.org/@algolia/client-common/-/client-common-5.48.1.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/cli@21.2.21 > algoliasearch@5.48.1 > @algolia/client-common@5.48.1,NAO_VERIFICADA
@algolia/client-insights,5.48.1,node_modules/@algolia/client-insights,transitiva,true,false,true,false,,,>= 14.0.0,https://registry.npmjs.org/@algolia/client-insights/-/client-insights-5.48.1.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/cli@21.2.21 > algoliasearch@5.48.1 > @algolia/client-insights@5.48.1,NAO_VERIFICADA
@algolia/client-personalization,5.48.1,node_modules/@algolia/client-personalization,transitiva,true,false,true,false,,,>= 14.0.0,https://registry.npmjs.org/@algolia/client-personalization/-/client-personalization-5.48.1.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/cli@21.2.21 > algoliasearch@5.48.1 > @algolia/client-personalization@5.48.1,NAO_VERIFICADA
@algolia/client-query-suggestions,5.48.1,node_modules/@algolia/client-query-suggestions,transitiva,true,false,true,false,,,>= 14.0.0,https://registry.npmjs.org/@algolia/client-query-suggestions/-/client-query-suggestions-5.48.1.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/cli@21.2.21 > algoliasearch@5.48.1 > @algolia/client-query-suggestions@5.48.1,NAO_VERIFICADA
@algolia/client-search,5.48.1,node_modules/@algolia/client-search,transitiva,true,false,true,false,,,>= 14.0.0,https://registry.npmjs.org/@algolia/client-search/-/client-search-5.48.1.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/cli@21.2.21 > algoliasearch@5.48.1 > @algolia/client-search@5.48.1,NAO_VERIFICADA
@algolia/ingestion,1.48.1,node_modules/@algolia/ingestion,transitiva,true,false,true,false,,,>= 14.0.0,https://registry.npmjs.org/@algolia/ingestion/-/ingestion-1.48.1.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/cli@21.2.21 > algoliasearch@5.48.1 > @algolia/ingestion@1.48.1,NAO_VERIFICADA
@algolia/monitoring,1.48.1,node_modules/@algolia/monitoring,transitiva,true,false,true,false,,,>= 14.0.0,https://registry.npmjs.org/@algolia/monitoring/-/monitoring-1.48.1.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/cli@21.2.21 > algoliasearch@5.48.1 > @algolia/monitoring@1.48.1,NAO_VERIFICADA
@algolia/recommend,5.48.1,node_modules/@algolia/recommend,transitiva,true,false,true,false,,,>= 14.0.0,https://registry.npmjs.org/@algolia/recommend/-/recommend-5.48.1.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/cli@21.2.21 > algoliasearch@5.48.1 > @algolia/recommend@5.48.1,NAO_VERIFICADA
@algolia/requester-browser-xhr,5.48.1,node_modules/@algolia/requester-browser-xhr,transitiva,true,false,true,false,,,>= 14.0.0,https://registry.npmjs.org/@algolia/requester-browser-xhr/-/requester-browser-xhr-5.48.1.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/cli@21.2.21 > algoliasearch@5.48.1 > @algolia/requester-browser-xhr@5.48.1,NAO_VERIFICADA
@algolia/requester-fetch,5.48.1,node_modules/@algolia/requester-fetch,transitiva,true,false,true,false,,,>= 14.0.0,https://registry.npmjs.org/@algolia/requester-fetch/-/requester-fetch-5.48.1.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/cli@21.2.21 > algoliasearch@5.48.1 > @algolia/requester-fetch@5.48.1,NAO_VERIFICADA
@algolia/requester-node-http,5.48.1,node_modules/@algolia/requester-node-http,transitiva,true,false,true,false,,,>= 14.0.0,https://registry.npmjs.org/@algolia/requester-node-http/-/requester-node-http-5.48.1.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/cli@21.2.21 > algoliasearch@5.48.1 > @algolia/requester-node-http@5.48.1,NAO_VERIFICADA
@ampproject/remapping,2.3.0,node_modules/@ampproject/remapping,transitiva,true,false,true,false,,,>=6.0.0,https://registry.npmjs.org/@ampproject/remapping/-/remapping-2.3.0.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/build@21.2.21 > @ampproject/remapping@2.3.0,NAO_VERIFICADA
@angular-devkit/architect,0.2102.21,node_modules/@angular-devkit/architect,transitiva,true,false,true,false,,,^20.19.0 || ^22.12.0 || >=24.0.0,https://registry.npmjs.org/@angular-devkit/architect/-/architect-0.2102.21.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/build@21.2.21 > @angular-devkit/architect@0.2102.21,NAO_VERIFICADA
@angular-devkit/core,21.2.21,node_modules/@angular-devkit/core,transitiva,true,false,true,false,,,^20.19.0 || ^22.12.0 || >=24.0.0,https://registry.npmjs.org/@angular-devkit/core/-/core-21.2.21.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/cli@21.2.21 > @angular-devkit/core@21.2.21,NAO_VERIFICADA
@angular-devkit/schematics,21.2.21,node_modules/@angular-devkit/schematics,transitiva,true,false,true,false,,,^20.19.0 || ^22.12.0 || >=24.0.0,https://registry.npmjs.org/@angular-devkit/schematics/-/schematics-21.2.21.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/cli@21.2.21 > @angular-devkit/schematics@21.2.21,NAO_VERIFICADA
@angular/build,21.2.21,node_modules/@angular/build,direta,true,false,true,false,,,^20.19.0 || ^22.12.0 || >=24.0.0,https://registry.npmjs.org/@angular/build/-/build-21.2.21.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,ferramenta de build: indisponibilidade pode impedir compilação,@angular/build@21.2.21,NAO_VERIFICADA
@angular/cli,21.2.21,node_modules/@angular/cli,direta,true,false,true,false,,,^20.19.0 || ^22.12.0 || >=24.0.0,https://registry.npmjs.org/@angular/cli/-/cli-21.2.21.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,ferramenta de build: indisponibilidade pode impedir compilação,@angular/cli@21.2.21,NAO_VERIFICADA
@angular/common,21.2.21,node_modules/@angular/common,direta,false,false,true,false,,,^20.19.0 || ^22.12.0 || >=24.0.0,https://registry.npmjs.org/@angular/common/-/common-21.2.21.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/common@21.2.21,NAO_VERIFICADA
@angular/compiler,21.2.21,node_modules/@angular/compiler,direta,false,false,true,false,,,^20.19.0 || ^22.12.0 || >=24.0.0,https://registry.npmjs.org/@angular/compiler/-/compiler-21.2.21.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/compiler@21.2.21,NAO_VERIFICADA
@angular/compiler-cli,21.2.21,node_modules/@angular/compiler-cli,direta,true,false,true,false,,,^20.19.0 || ^22.12.0 || >=24.0.0,https://registry.npmjs.org/@angular/compiler-cli/-/compiler-cli-21.2.21.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,ferramenta de build: indisponibilidade pode impedir compilação,@angular/compiler-cli@21.2.21,NAO_VERIFICADA
@angular/core,21.2.21,node_modules/@angular/core,direta,false,false,true,false,,,^20.19.0 || ^22.12.0 || >=24.0.0,https://registry.npmjs.org/@angular/core/-/core-21.2.21.tgz,registry.npmjs.org,sha512,CANDIDATO_NAO_OPCIONAL,artefato sem bloqueio específico conhecido; acesso Nexus não verificado,@angular/core@21.2.21,NAO_VERIFICADA
